sample;annotation
Октябрьская птицефабрика.;[(1, 11, 'B-BRAND'), (12, 25, 'I-BRAND')]
Проделки Локи;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
ООО Пищевой комбинат«Северный»;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 29, 'I-BRAND')]
DopDrops;[(1, 9, 'B-BRAND')]
ZENZE;[(1, 6, 'B-BRAND')]
ротфронт;[(1, 9, 'B-BRAND')]
кибрай;[(1, 7, 'B-BRAND')]
моя цена;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
ООО Елецкий мясокомбинат;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 23, 'I-BRAND')]
DANONE, Активиа;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Праздник Урожая;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
ИП Овакимян Ш.Р.;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 15, 'I-BRAND')]
Жако;[(1, 5, 'B-BRAND')]
Кинешемский хлебокомбинат;[(1, 11, 'B-BRAND'), (12, 25, 'I-BRAND')]
Perrier;[(1, 8, 'B-BRAND')]
1 хлебокомбинат Челябинск;[(1, 1, 'B-BRAND'), (2, 14, 'I-BRAND'), (15, 24, 'I-BRAND')]
люди любят;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
ООО «Петропавловск-Камчатский Рыбконсервный Завод»;[(1, 3, 'B-BRAND'), (4, 28, 'I-BRAND'), (29, 41, 'I-BRAND'), (42, 48, 'I-BRAND')]
Живые конфеты;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Море Мира;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Orecchio oro;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Лазовское;[(1, 10, 'B-BRAND')]
Sula;[(1, 5, 'B-BRAND')]
Lelia;[(1, 6, 'B-BRAND')]
Хлебный дом;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Колибри;[(1, 8, 'B-BRAND')]
Camokat;[(1, 8, 'B-BRAND')]
Кантата;[(1, 8, 'B-BRAND')]
Крутим-Лепим;[(1, 13, 'B-BRAND')]
ООО НИКА;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Семейный гарнир;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Zotman Pizza;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Pierre Dumontet;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Ромашкино;[(1, 10, 'B-BRAND')]
Зори Тамани;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Coca-Cola Company;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Tornado Energy;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Дары мира;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
союшка;[(1, 7, 'B-BRAND')]
Именитые;[(1, 9, 'B-BRAND')]
Zero Point;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Fix;[(1, 4, 'B-BRAND')]
Турция;[(1, 7, 'B-BRAND')]
la-pina;[(1, 8, 'B-BRAND')]
Пискаревский;[(1, 13, 'B-BRAND')]
Мириталь;[(1, 9, 'B-BRAND')]
Oreo;[(1, 5, 'B-BRAND')]
Коломенский;[(1, 12, 'B-BRAND')]
Доширак;[(1, 8, 'B-BRAND')]
Mr.Djemius;[(1, 11, 'B-BRAND')]
Крестьянка;[(1, 11, 'B-BRAND')]
Каролина;[(1, 9, 'B-BRAND')]
Kral;[(1, 5, 'B-BRAND')]
Carstens;[(1, 9, 'B-BRAND')]
Utenos Alus;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Калина малина;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Гастроном Стандарт;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Ajinomoto;[(1, 10, 'B-BRAND')]
Лента Life;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Вкус и Польза;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 12, 'I-BRAND')]
Elza;[(1, 5, 'B-BRAND')]
Assand;[(1, 7, 'B-BRAND')]
Rioba;[(1, 6, 'B-BRAND')]
Washington;[(1, 11, 'B-BRAND')]
Adrenaline;[(1, 11, 'B-BRAND')]
Аппетиссимо;[(1, 12, 'B-BRAND')]
галичский хлеб;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
Сахалин рыба;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Фруто Няня;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Zhenchum;[(1, 9, 'B-BRAND')]
колеменский;[(1, 12, 'B-BRAND')]
Торговый дом Каролина;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
Fabelli;[(1, 8, 'B-BRAND')]
Эконом маркет;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Vante Vittoria;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
Слуцкий;[(1, 8, 'B-BRAND')]
Sairme;[(1, 7, 'B-BRAND')]
Туйгунов;[(1, 9, 'B-BRAND')]
lays;[(1, 5, 'B-BRAND')]
КОРОВКА из Кореновки;[(1, 7, 'B-BRAND'), (8, 9, 'I-BRAND'), (10, 19, 'I-BRAND')]
Деревня Счастливово;[(1, 7, 'B-BRAND'), (8, 19, 'I-BRAND')]
Spikes;[(1, 7, 'B-BRAND')]
московский картофель;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Comandante Pancho;[(1, 10, 'B-BRAND'), (11, 17, 'I-BRAND')]
ирбитский;[(1, 10, 'B-BRAND')]
Першино;[(1, 8, 'B-BRAND')]
Fruit-tella;[(1, 12, 'B-BRAND')]
Зернодар Gold,Компания «Ангстрем Трейдинг»,Зернодар;[(1, 8, 'B-BRAND'), (9, 21, 'I-BRAND'), (22, 30, 'I-BRAND'), (31, 49, 'I-BRAND')]
Митколь;[(1, 8, 'B-BRAND')]
BAYAN SULU;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Premium club;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Fit Kit;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
пиво;[(1, 5, 'B-BRAND')]
Ёбатор;[(1, 7, 'B-BRAND')]
Фмш хаус;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Take A Bite;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 10, 'I-BRAND')]
Биафишенол;[(1, 11, 'B-BRAND')]
Русский снэк;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Дубки;[(1, 6, 'B-BRAND')]
Большая грядка;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Славица;[(1, 8, 'B-BRAND')]
Добринское Фермерское Хозяйство;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND'), (21, 30, 'I-BRAND')]
ООО Кулинарная Фабрика Королевский Вкус;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 20, 'I-BRAND'), (21, 31, 'I-BRAND'), (32, 36, 'I-BRAND')]
Bazhati;[(1, 8, 'B-BRAND')]
Passim;[(1, 7, 'B-BRAND')]
РонтФронт;[(1, 10, 'B-BRAND')]
pikok pute;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Ярославский бройлер;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Хлеб насущный;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Baikal Pearl, Жемчужина Байкала;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 21, 'I-BRAND'), (22, 29, 'I-BRAND')]
Салмон Трейд;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Каравай;[(1, 8, 'B-BRAND')]
Jameson;[(1, 8, 'B-BRAND')]
Костровок;[(1, 10, 'B-BRAND')]
домашние рецепты;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Петровская бухта,Рыбное место;[(1, 10, 'B-BRAND'), (11, 22, 'I-BRAND'), (23, 28, 'I-BRAND')]
ООО Хлебный дом;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 14, 'I-BRAND')]
Джамбл;[(1, 7, 'B-BRAND')]
Бакалар;[(1, 8, 'B-BRAND')]
Табрис;[(1, 7, 'B-BRAND')]
ФЭГ;[(1, 4, 'B-BRAND')]
Моя цена;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Благодарушка (Kvalita);[(1, 12, 'B-BRAND'), (13, 22, 'I-BRAND')]
Gimoka, MacCoffee;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND')]
Махеев;[(1, 7, 'B-BRAND')]
dr.Grün;[(1, 8, 'B-BRAND')]
каскад;[(1, 7, 'B-BRAND')]
Зулайбакрака;[(1, 13, 'B-BRAND')]
щедра нива;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Foodland;[(1, 9, 'B-BRAND')]
Останскинское;[(1, 14, 'B-BRAND')]
Casademond;[(1, 11, 'B-BRAND')]
Mugo;[(1, 5, 'B-BRAND')]
Веган Иваныч;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
wave of Baikal, волна Байкала;[(1, 4, 'B-BRAND'), (5, 6, 'I-BRAND'), (7, 13, 'I-BRAND'), (14, 18, 'I-BRAND'), (19, 26, 'I-BRAND')]
ЗАО Бугульминский комбинат хлебопродуктов №1;[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND'), (17, 24, 'I-BRAND'), (25, 38, 'I-BRAND'), (39, 41, 'I-BRAND')]
Alpro;[(1, 6, 'B-BRAND')]
Ришилье;[(1, 8, 'B-BRAND')]
Amidis;[(1, 7, 'B-BRAND')]
ООО АУРА;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
СПК «Благодатное»;[(1, 3, 'B-BRAND'), (4, 17, 'I-BRAND')]
Троекурова.;[(1, 12, 'B-BRAND')]
АО МПБК Очаково;[(1, 2, 'B-BRAND'), (3, 6, 'I-BRAND'), (7, 14, 'I-BRAND')]
Сдобное изобилие;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
ЛАМА;[(1, 5, 'B-BRAND')]
Fitness SHOCK;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Ziba;[(1, 5, 'B-BRAND')]
Каравай Кубани;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Клинские;[(1, 9, 'B-BRAND')]
Ferma;[(1, 6, 'B-BRAND')]
вкус и польза;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 12, 'I-BRAND')]
Сладонияь;[(1, 10, 'B-BRAND')]
Delicio;[(1, 8, 'B-BRAND')]
Белебевский;[(1, 12, 'B-BRAND')]
Ремесленный хлеб;[(1, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
РЖД;[(1, 4, 'B-BRAND')]
econta;[(1, 7, 'B-BRAND')]
Nescafé,Nestlé;[(1, 15, 'B-BRAND')]
Dilmah;[(1, 7, 'B-BRAND')]
Макси;[(1, 6, 'B-BRAND')]
Спар;[(1, 5, 'B-BRAND')]
зелёная линия;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
ООО КДВ Воронеж;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 14, 'I-BRAND')]
Быстринка;[(1, 10, 'B-BRAND')]
Unimarka;[(1, 9, 'B-BRAND')]
Crespo, Euroliva  S.A.  Ctra., ครีสโป;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 19, 'I-BRAND'), (20, 25, 'I-BRAND'), (26, 32, 'I-BRAND')]
pastaZARA, Pasta Zara;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND'), (16, 20, 'I-BRAND')]
Brooklyn Brewery;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Cémoi;[(1, 6, 'B-BRAND')]
Patron;[(1, 7, 'B-BRAND')]
ООО Костромской сыродел;[(1, 3, 'B-BRAND'), (4, 14, 'I-BRAND'), (15, 22, 'I-BRAND')]
Крестянское;[(1, 12, 'B-BRAND')]
Коровка Из Кореновки;[(1, 7, 'B-BRAND'), (8, 9, 'I-BRAND'), (10, 19, 'I-BRAND')]
Утёнок;[(1, 7, 'B-BRAND')]
Бриз;[(1, 5, 'B-BRAND')]
теген;[(1, 6, 'B-BRAND')]
винище;[(1, 7, 'B-BRAND')]
Окей;[(1, 5, 'B-BRAND')]
Oakwood;[(1, 8, 'B-BRAND')]
Champ!;[(1, 7, 'B-BRAND')]
Odkolek;[(1, 8, 'B-BRAND')]
Глобал Фудб;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Весёлый скоровар;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Прелесть;[(1, 9, 'B-BRAND')]
Jivo;[(1, 5, 'B-BRAND')]
авс;[(1, 4, 'B-BRAND')]
Bonte;[(1, 6, 'B-BRAND')]
Сибирская клетчатка;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
Меленъ;[(1, 7, 'B-BRAND')]
Fit feel;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
ТД «Морское содружество»;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 23, 'I-BRAND')]
L.Sanic;[(1, 8, 'B-BRAND')]
Нева престиж;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Вкусняево;[(1, 10, 'B-BRAND')]
ООО Северянин;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
Savushkin;[(1, 10, 'B-BRAND')]
салаты и деликатесы;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 18, 'I-BRAND')]
Зелёные просторы;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
ALT;[(1, 4, 'B-BRAND')]
вин;[(1, 4, 'B-BRAND')]
eL'NATUR;[(1, 9, 'B-BRAND')]
Choco Zen;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Coffesso;[(1, 9, 'B-BRAND')]
то,что надо;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Чудо;[(1, 5, 'B-BRAND')]
ООО Гранола.Лаб;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
organik;[(1, 8, 'B-BRAND')]
Nestlé Быстров,Nestlé,Быстров;[(1, 6, 'B-BRAND'), (7, 29, 'I-BRAND')]
летна;[(1, 6, 'B-BRAND')]
АО ПК Лимак;[(1, 2, 'B-BRAND'), (3, 4, 'I-BRAND'), (5, 10, 'I-BRAND')]
Волжские Узоры;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Кореновское;[(1, 12, 'B-BRAND')]
Домашний очаг;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Травы и Пчёлы;[(1, 5, 'B-BRAND'), (6, 6, 'I-BRAND'), (7, 12, 'I-BRAND')]
Lucky Group;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Sormovsky Distillery;[(1, 9, 'B-BRAND'), (10, 20, 'I-BRAND')]
ЗАО Стародворские колбасы;[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND'), (17, 24, 'I-BRAND')]
б.ы. александров;[(1, 4, 'B-BRAND'), (5, 16, 'I-BRAND')]
Березовский Мясоконсервный Комбинат;[(1, 11, 'B-BRAND'), (12, 25, 'I-BRAND'), (26, 34, 'I-BRAND')]
Живая планета;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Globus, Глобус;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Шарлиз;[(1, 7, 'B-BRAND')]
Залесский фермер;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Здрава;[(1, 7, 'B-BRAND')]
три коровы два кота;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
Волжанка;[(1, 9, 'B-BRAND')]
Седьмой континент;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND')]
Sen Soy;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Анапский хлебокомбинат;[(1, 8, 'B-BRAND'), (9, 22, 'I-BRAND')]
Harry's;[(1, 8, 'B-BRAND')]
очаково;[(1, 8, 'B-BRAND')]
ЕЖК;[(1, 4, 'B-BRAND')]
Сами готовим;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
NAR;[(1, 4, 'B-BRAND')]
Томская Кедровая Фабрика;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 23, 'I-BRAND')]
DonSemi;[(1, 8, 'B-BRAND')]
Вау Мяу!;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Хель Владычица;[(1, 4, 'B-BRAND'), (5, 14, 'I-BRAND')]
Овощная семейка;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Liberty Orchards;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Добринское;[(1, 11, 'B-BRAND')]
Пир-Пак;[(1, 8, 'B-BRAND')]
Лавка Яндекс;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Milka Bubbles,Mondelēz;[(1, 5, 'B-BRAND'), (6, 22, 'I-BRAND')]
Кезский сырзавод;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
КОЛОСС;[(1, 7, 'B-BRAND')]
World's market;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Особая коллекция;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND')]
СвитЛайф;[(1, 9, 'B-BRAND')]
Fresco;[(1, 7, 'B-BRAND')]
Русское Море;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Laima;[(1, 6, 'B-BRAND')]
SNAC FABRIQ;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Пермская;[(1, 9, 'B-BRAND')]
ООО Снэк Компани;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 15, 'I-BRAND')]
Алтайбиопроект;[(1, 15, 'B-BRAND')]
Сибагро;[(1, 8, 'B-BRAND')]
Славянские традиции;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
California Gold Nutrition Superfoods;[(1, 10, 'B-BRAND'), (11, 14, 'I-BRAND'), (15, 23, 'I-BRAND'), (24, 34, 'I-BRAND')]
ООО Август;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Переяславаль;[(1, 13, 'B-BRAND')]
Пчельник;[(1, 9, 'B-BRAND')]
кружечка немецкого;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
ЗАО Цитадель;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Агро-альянс (Центральная крупяная компания);[(1, 11, 'B-BRAND'), (12, 23, 'I-BRAND'), (24, 31, 'I-BRAND'), (32, 41, 'I-BRAND')]
Ahmad tea;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Soko Grande;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
BonaVita;[(1, 9, 'B-BRAND')]
вино;[(1, 5, 'B-BRAND')]
Красный Город;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Русская каша;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Somersby;[(1, 9, 'B-BRAND')]
Campari;[(1, 8, 'B-BRAND')]
простоквашино;[(1, 14, 'B-BRAND')]
O'Zera;[(1, 7, 'B-BRAND')]
Masterfood;[(1, 11, 'B-BRAND')]
ООО Айс-Продукт;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
MIOCREMA;[(1, 9, 'B-BRAND')]
Хрустом;[(1, 8, 'B-BRAND')]
PRIMA DONNA;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Сафо;[(1, 5, 'B-BRAND')]
Русские закуски;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Мясной дом Бородина;[(1, 6, 'B-BRAND'), (7, 9, 'I-BRAND'), (10, 18, 'I-BRAND')]
ООО ПК Фарм-про;[(1, 3, 'B-BRAND'), (4, 5, 'I-BRAND'), (6, 14, 'I-BRAND')]
Rodrigo;[(1, 8, 'B-BRAND')]
family food;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
АО Данон Россия;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND'), (8, 14, 'I-BRAND')]
Lactel;[(1, 7, 'B-BRAND')]
Konti;[(1, 6, 'B-BRAND')]
ИП Гаджимурадов;[(1, 2, 'B-BRAND'), (3, 15, 'I-BRAND')]
Мясная тема;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
русский десерт;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
От души!;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND')]
ООО РостАгрокомплекс;[(1, 3, 'B-BRAND'), (4, 20, 'I-BRAND')]
Bonvida;[(1, 8, 'B-BRAND')]
MAKIZ;[(1, 6, 'B-BRAND')]
Щедрый год;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
CHIKALAB;[(1, 9, 'B-BRAND')]
Белый замок;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Гордость фермера.;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
Gamma;[(1, 6, 'B-BRAND')]
Сытный дом;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
ГЛАВСУП;[(1, 8, 'B-BRAND')]
Султан;[(1, 7, 'B-BRAND')]
пепсико;[(1, 8, 'B-BRAND')]
TRS;[(1, 4, 'B-BRAND')]
malvaviscos;[(1, 12, 'B-BRAND')]
Choco-Pie, Orion;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Albero;[(1, 7, 'B-BRAND')]
Авторский Волков;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Добрый продукт;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Маруся;[(1, 7, 'B-BRAND')]
Первый Шоколатье;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND')]
ООО Савушкин-Орша;[(1, 3, 'B-BRAND'), (4, 17, 'I-BRAND')]
LifeLY;[(1, 7, 'B-BRAND')]
Котлетарь;[(1, 10, 'B-BRAND')]
горьковская пивоварня;[(1, 11, 'B-BRAND'), (12, 21, 'I-BRAND')]
Bombbar;[(1, 8, 'B-BRAND')]
Kerlli;[(1, 7, 'B-BRAND')]
YOKITOKI;[(1, 9, 'B-BRAND')]
Фабрика овощей;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Талицкий;[(1, 9, 'B-BRAND')]
Lenta;[(1, 6, 'B-BRAND')]
eatMeat Daily Menu;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
Фурманов Хлеб;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
продснабалтай;[(1, 14, 'B-BRAND')]
We'll done;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Бета Чай;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Зеленодольский хлеб;[(1, 14, 'B-BRAND'), (15, 19, 'I-BRAND')]
Обломов;[(1, 8, 'B-BRAND')]
Городейский Сахар;[(1, 11, 'B-BRAND'), (12, 17, 'I-BRAND')]
ОБОК;[(1, 5, 'B-BRAND')]
Своя линия;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Свитлогорье;[(1, 12, 'B-BRAND')]
ГринАгро;[(1, 9, 'B-BRAND')]
ООО Эдди;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Нижегородское Любимое Дело;[(1, 13, 'B-BRAND'), (14, 20, 'I-BRAND'), (21, 25, 'I-BRAND')]
Зернодар;[(1, 9, 'B-BRAND')]
Vilage House;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
АОМолкосыркомбинат - Волжский;[(1, 18, 'B-BRAND'), (19, 19, 'I-BRAND'), (20, 28, 'I-BRAND')]
У Палыча;[(1, 1, 'B-BRAND'), (2, 8, 'I-BRAND')]
ООО Аль Амира Аль Арабия Хайат;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 11, 'I-BRAND'), (12, 14, 'I-BRAND'), (15, 20, 'I-BRAND'), (21, 26, 'I-BRAND')]
пачка;[(1, 6, 'B-BRAND')]
nautilus, นอติลุส;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Saute Chef;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
ООО Лира;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Просто!;[(1, 8, 'B-BRAND')]
Tsar;[(1, 5, 'B-BRAND')]
Café Royal;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Orion;[(1, 6, 'B-BRAND')]
Hochland;[(1, 9, 'B-BRAND')]
Topchick;[(1, 9, 'B-BRAND')]
Tess;[(1, 5, 'B-BRAND')]
Марк;[(1, 5, 'B-BRAND')]
Pura Vida;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Kumed;[(1, 6, 'B-BRAND')]
Из Вологды;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND')]
Рижский хлеб;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Золотая Долина;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Талицкое;[(1, 9, 'B-BRAND')]
ОПХ;[(1, 4, 'B-BRAND')]
Sulma;[(1, 6, 'B-BRAND')]
Геркулес;[(1, 9, 'B-BRAND')]
Just Brutal;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Епифан,От Епифана;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
велмит;[(1, 7, 'B-BRAND')]
День Торта;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Jaguar;[(1, 7, 'B-BRAND')]
белёвский десерт;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Кратт;[(1, 6, 'B-BRAND')]
Домашний вкус;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Solio;[(1, 6, 'B-BRAND')]
Родные места;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
винише;[(1, 7, 'B-BRAND')]
Bonduelle, Бондюэль;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
setra;[(1, 6, 'B-BRAND')]
BioFoodLab;[(1, 11, 'B-BRAND')]
FitnesSHOCK;[(1, 12, 'B-BRAND')]
G-balance;[(1, 10, 'B-BRAND')]
АО Кондитерская фабрика БЕЛОГОРЬЕ;[(1, 2, 'B-BRAND'), (3, 14, 'I-BRAND'), (15, 21, 'I-BRAND'), (22, 31, 'I-BRAND')]
бамидор;[(1, 8, 'B-BRAND')]
Курильский берег;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Wawel;[(1, 6, 'B-BRAND')]
Лучшая цена;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Здоровое меню;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
